pr_number,created_date,time_to_first_review_sec,time_to_approval_sec,time_to_merge_sec,was_merged
62839,2025-10-15T18:09:20Z,257,0,30,1
62836,2025-10-15T17:43:59Z,284,28,24,1
62834,2025-10-15T17:21:37Z,307,0,32,1
62833,2025-10-15T17:16:46Z,313,0,29,1
62831,2025-10-15T16:50:13Z,337,0,30,1
62827,2025-10-15T14:03:20Z,5,0,468,1
62826,2025-10-15T12:48:59Z,543,0,85,1
62825,2025-10-15T12:26:53Z,74,0,182,1
62824,2025-10-15T11:29:42Z,122,0,44,1
62822,2025-10-14T20:49:36Z,146,0,219,1
62819,2025-10-14T17:26:35Z,31,0,168,1
62818,2025-10-14T17:22:06Z,37,0,167,1
62815,2025-10-14T17:13:51Z,47,0,166,1
62814,2025-10-14T17:11:46Z,53,0,163,1
62812,2025-10-14T17:06:11Z,,,,1
62810,2025-10-14T16:57:10Z,1070,0,683,1
62809,2025-10-14T16:51:48Z,267,0,78,1
62807,2025-10-14T16:32:12Z,302,0,64,1
62806,2025-10-14T16:30:07Z,15,0,1007,1
62804,2025-10-14T16:23:27Z,310,0,45,1
62803,2025-10-14T16:21:54Z,310,0,67,1
62801,2025-10-14T15:59:11Z,,,,0
62800,2025-10-14T15:51:25Z,340,0,166,1
62799,2025-10-14T15:49:02Z,341,0,171,1
62798,2025-10-14T15:45:42Z,338,0,179,1
62797,2025-10-14T15:42:31Z,339,0,183,1
62795,2025-10-14T15:38:13Z,343,0,186,1
62786,2025-10-14T14:21:38Z,1074,2755,3409,1
62785,2025-10-14T13:39:27Z,56,0,116,1
62784,2025-10-14T11:11:11Z,,,,0
62783,2025-10-14T10:41:54Z,,,,0
62782,2025-10-14T10:34:28Z,16,0,210,1
62781,2025-10-14T10:26:19Z,208,0,134,1
62780,2025-10-14T10:03:03Z,19515,,,0
62779,2025-10-14T08:57:49Z,1725,0,88,1
62777,2025-10-14T03:30:48Z,200,0,1071,1
62776,2025-10-13T23:14:01Z,23,0,237,1
62775,2025-10-13T18:03:51Z,,,,0
62774,2025-10-13T17:58:14Z,,,,0
62773,2025-10-13T17:57:00Z,,,,0
62772,2025-10-13T16:13:09Z,95,76,17,1
62771,2025-10-13T16:05:37Z,104,79,23,1
62770,2025-10-13T16:01:47Z,191,18,239,1
62769,2025-10-13T15:58:55Z,195,256,1,1
62768,2025-10-13T15:56:30Z,221,0,1752,1
62767,2025-10-13T15:54:40Z,234,0,218,1
62766,2025-10-13T15:50:22Z,236,0,232,1
62765,2025-10-13T15:49:50Z,234,0,230,1
62764,2025-10-13T15:45:41Z,,,,0
62763,2025-10-13T15:40:16Z,8,0,466,1
62762,2025-10-13T15:34:13Z,210,0,37,1
62749,2025-10-13T12:26:49Z,1213,0,403,1
62741,2025-10-12T10:17:06Z,1334,0,0,1
62739,2025-10-12T10:01:22Z,2019,0,269,1
62738,2025-10-12T09:18:45Z,7,,,1
62736,2025-10-12T09:08:58Z,,,,0
62735,2025-10-12T00:25:21Z,2627,,,0
62734,2025-10-11T19:33:55Z,2896,0,247,1
62732,2025-10-11T11:59:50Z,57,298,354,1
62730,2025-10-11T10:14:15Z,3457,0,239,1
62728,2025-10-11T07:33:38Z,,,,0
62727,2025-10-11T07:27:52Z,,,,0
62726,2025-10-11T07:20:36Z,,,,0
62725,2025-10-11T07:12:03Z,,,,0
62724,2025-10-11T04:53:43Z,,,,0
62723,2025-10-11T00:31:40Z,446,37626,266,1
62719,2025-10-10T23:08:49Z,28884,7991,56,1
62716,2025-10-10T22:48:50Z,60,0,4086,1
62715,2025-10-10T22:47:22Z,60,0,4325,1
62712,2025-10-10T22:10:27Z,96,0,4305,1
62711,2025-10-10T22:08:43Z,41,0,4363,1
62708,2025-10-10T18:47:39Z,51,0,92,1
62706,2025-10-10T18:06:25Z,88,0,94,1
62704,2025-10-10T17:50:05Z,102,0,96,1
62703,2025-10-10T17:47:21Z,104,0,96,1
62701,2025-10-10T17:45:27Z,105,0,97,1
62699,2025-10-10T17:43:18Z,106,0,97,1
62698,2025-10-10T17:41:10Z,107,0,96,1
62695,2025-10-10T17:31:32Z,,,,0
62693,2025-10-10T17:21:07Z,4,0,123,1
62692,2025-10-10T17:18:15Z,,,,0
62690,2025-10-10T17:15:52Z,8,0,123,1
62688,2025-10-10T17:10:48Z,12,0,284,1
62686,2025-10-10T17:01:52Z,21,0,122,1
62684,2025-10-10T16:58:38Z,23,0,122,1
62682,2025-10-10T16:56:41Z,25,0,122,1
62680,2025-10-10T16:35:59Z,12,38743,0,1
62679,2025-10-10T15:39:33Z,100,0,121,1
62677,2025-10-10T15:17:27Z,,,,0
62676,2025-10-10T15:15:28Z,124,0,287,1
62674,2025-10-10T15:05:08Z,8,0,465,1
62673,2025-10-10T15:04:44Z,,,,0
62672,2025-10-10T15:00:28Z,,,,0
62671,2025-10-10T14:56:38Z,,,,0
62670,2025-10-10T14:49:12Z,34,,,0
62669,2025-10-10T14:32:30Z,6965,0,1261,1
62668,2025-10-10T14:28:11Z,5468,0,8,1
62665,2025-10-10T12:29:22Z,20226,4241,1663,1
62664,2025-10-10T11:51:21Z,37,0,17,1
62662,2025-10-10T06:06:17Z,,,,0
62661,2025-10-10T05:47:02Z,,,,0
62660,2025-10-10T00:06:09Z,113,0,29,1
62659,2025-10-09T23:32:21Z,20083,5246,0,1
62656,2025-10-09T22:08:12Z,54,479,198,1
62654,2025-10-09T21:08:58Z,51,0,63,1
62651,2025-10-09T20:49:14Z,56,0,13,1
62648,2025-10-09T19:37:26Z,101,0,40,1
62647,2025-10-09T19:35:34Z,95,0,47,1
62646,2025-10-09T19:33:48Z,94,37,11,1
62644,2025-10-09T18:22:20Z,39,35631,1774,1
62641,2025-10-09T17:14:23Z,11,,,0
62640,2025-10-09T17:03:55Z,89,0,450,1
62639,2025-10-09T17:01:21Z,6,0,228,1
62637,2025-10-09T16:24:27Z,,,,0
62636,2025-10-09T16:01:30Z,593,0,3,1
62634,2025-10-09T13:32:26Z,69,0,114,1
62633,2025-10-09T13:27:51Z,96,0,8,1
62631,2025-10-09T13:21:21Z,,,,0
62630,2025-10-09T13:10:30Z,20,0,185,1
62628,2025-10-09T12:34:44Z,18,0,11,1
62627,2025-10-09T12:31:41Z,24,0,220,1
62625,2025-10-09T10:16:09Z,10197,5800,5314,1
62624,2025-10-09T10:12:03Z,,,,0
62623,2025-10-09T09:30:30Z,1033,10761,9736,1
62622,2025-10-09T08:42:06Z,54,0,65,1
62621,2025-10-09T08:13:32Z,1119,0,425,1
62620,2025-10-09T05:33:23Z,123,,,0
62619,2025-10-09T04:38:03Z,,,,0
62618,2025-10-09T01:07:24Z,208,,,0
62617,2025-10-09T00:08:50Z,,,,0
62616,2025-10-08T23:49:18Z,462,15,168,1
62615,2025-10-08T23:22:28Z,482,153,55,1
62614,2025-10-08T22:35:32Z,6,,,0
62613,2025-10-08T22:08:48Z,1750,0,10080,1
62611,2025-10-08T20:13:17Z,638,0,542,1
62610,2025-10-08T19:53:04Z,29,0,11,1
62609,2025-10-08T19:38:46Z,177,0,520,1
62608,2025-10-08T19:32:44Z,12,0,39,1
62607,2025-10-08T19:27:50Z,13,17190,13041,1
62605,2025-10-08T18:49:29Z,6,30272,0,1
62604,2025-10-08T16:59:27Z,1,0,29,1
62603,2025-10-08T16:44:49Z,,,,0
62602,2025-10-08T15:40:01Z,,,,0
62601,2025-10-08T15:37:20Z,73,0,2053,1
62597,2025-10-08T14:06:43Z,9,31830,4761,1
62596,2025-10-08T13:59:06Z,,,,0
62595,2025-10-08T12:26:48Z,113,0,145,1
62594,2025-10-08T11:43:31Z,20406,0,10177,1
62593,2025-10-08T10:08:43Z,40,,,0
62592,2025-10-08T07:27:22Z,1637,58,22585,1
62591,2025-10-08T05:40:07Z,,,,0
62590,2025-10-08T00:12:20Z,,,,0
62589,2025-10-07T21:27:41Z,,,,1
62588,2025-10-07T20:51:19Z,75,1465,507,1
62587,2025-10-07T20:41:01Z,,,,0
62586,2025-10-07T19:27:30Z,,,,0
62585,2025-10-07T19:02:01Z,42,,,0
62584,2025-10-07T18:43:26Z,700,0,7,1
62583,2025-10-07T16:40:55Z,13,0,,0
62582,2025-10-07T16:37:41Z,,,,0
62581,2025-10-07T16:33:39Z,31,,,0
62580,2025-10-07T16:29:06Z,35,0,29,1
62579,2025-10-07T16:09:51Z,12,,,0
62578,2025-10-07T15:37:33Z,,,,0
62577,2025-10-07T15:35:10Z,,,,0
62576,2025-10-07T15:15:18Z,12,0,84,1
62575,2025-10-07T14:18:29Z,53,0,53,1
62574,2025-10-07T14:16:10Z,3025,28318,559,1
62573,2025-10-07T13:40:46Z,4311,0,126,1
62571,2025-10-07T11:04:42Z,11,0,2612,1
62570,2025-10-07T10:34:48Z,,,,1
62569,2025-10-07T10:19:16Z,2801,17618,45,1
62568,2025-10-07T09:18:46Z,2,13630,18514,1
62565,2025-10-07T05:25:32Z,316,0,140,1
62562,2025-10-07T00:15:01Z,400,,,0
62561,2025-10-07T00:01:19Z,14,39480,807,1
62560,2025-10-06T23:27:27Z,,,,0
62558,2025-10-06T20:29:15Z,,,,0
62557,2025-10-06T20:28:23Z,2674,0,10893,1
62556,2025-10-06T18:10:00Z,1615,34187,0,1
62554,2025-10-06T14:29:14Z,,,,0
62553,2025-10-06T13:19:53Z,1219,1719,162,1
62552,2025-10-06T12:54:27Z,69,0,5687,1
62551,2025-10-06T12:26:49Z,28,0,46,1
62550,2025-10-06T11:18:00Z,85,0,1164,1
62549,2025-10-06T08:47:37Z,118,350,83,1
62548,2025-10-06T08:14:36Z,22130,0,2924,1
62547,2025-10-06T08:11:59Z,,,,0
62544,2025-10-06T07:58:46Z,33,0,2814,1
62543,2025-10-06T07:57:21Z,1755,0,94,1
